,Link,Name,Comment,Rate
0,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),Ưu điểm: Thiết kế đẹp Màn hình khá ổn trong tầm giá Cấu hình ổn Nhược điểm: Loa ngoài rè Lỗi full disk làm máy chậm cực kì chậm,1.0
1,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),"Máy mẫu mã đẹp , mình mới mua cách đây 1 tuần , nhưng sau mình thấy loa phía trên rè rè",3.0
2,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),Mới mua được 1 ngày. Dùng sau 30p màn hình giật lác. Đi bảo hành đã hơn 1 tuần. Mà chưa có thông tin gì. Nản.,1.0
3,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),"Xài êm lắm , mượt mà , cấu hình cao, mẩu mã đẹp 1 SP đánh mua nhất trong năm 2019",5.0
4,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),"sản phẩm sử dung rất tốt cho nhu cầu sinh viên và văn phòng, nếu nâng cấp ssd và ram mới có thể dùng đồ họa và game nặng, nên gamer không nên sử dụng, ngoài ra máy rất đẹp và nhẹ, sinh viên nên mua, card đồ họa tích hợp máy chạy ít hao pin, có thể dùng hơn 5 tiếng soạn thảo word. cảm ơn tgdd",5.0
5,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),mẫu mã đẹp - lỗi full disk - full ram ngoài up SSD và cắm thêm ram chẳng có cách nảo giải quyết được.,1.0
6,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),Shop bán sản phầm chất lượng không tốt. Máy thường hay bị lỗi màn hình và chạy chậm. Pin lúc vào lúc không. Đổi sản phẩm mới cũng bị lỗi,3.0
7,https://www.thegioididong.com/laptop/hp-pavilion-15-cs1009tu-i5-8265u-4gb-1tb-win10-5j,Laptop HP Pavilion 15 cs1009TU i5 8265U/4GB/1TB/Win10 (5JL43PA),"thiết kế đẹp, màn hình cho độ hiển thị rất tốt, thể hiện rất rực rỡ và rõ nét hình nền thú cưng mình mới tìm được trên sieupet.com",5.0
8,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"Mua được gần 3 tháng, mới đầu hơi chậm, từ tết đến giờ chạy khá ổn. Mọi người tham khảo",4.0
9,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"Tệ dùng mỗi cốc cốc còn lag,",2.0
10,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"Nhanh nóng, hay đơ mặc dù mơi mua. sử dụng thật sự rất ức chế. Thật sai lầm khi chọn mua",1.0
11,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"Hình ảnh âm thanh tốt. Pin tầm 4 or 5 tiếng, xài lâu không thấy nóng, nhân viên nhiệt tình vui vẻ , chỉ có điều máy chạy chậm quá mặc dù mới mua tầm 1 tháng.",4.0
12,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"Máy mới mua 1 tháng hư mem....mang về chưa đươjc bao lâu lại mất tiếng...máy hay đơ, mau nóng, hay đứng",1.0
13,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"máy dùng ổn định, pin cũng được tầm 4 tiếng với tác vụ văn phòng, nhân viên tư vấn và giao hàng nhiệt tình.",5.0
14,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"sản phẩm thiết kế đẹp màn hình lại to cho trải nghiệm chơi game thích hơn, chơi game liên minh đôi lúc vẫn hơi giật nhưng thao tác các ứng dụng khác thấy dùng Ok",4.0
15,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),Sản phẩm đẹp sài tốt nhân viên tư vấn nhiệt tình nói chung là hiện tại hài lòng với số tiền bỏ ra,5.0
16,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),"máy dùng tốt tuy nhiên máy hơi to, nặng. màn hình góc nhìn hẹp đôi lúc hơi lag, tuy nhiên mình mua hàng đổi trả với giá 11tr870k thì không thể đòi hỏi thêm",4.0
17,https://www.thegioididong.com/laptop/dell-inspiron-3576-p63f002n76f,Laptop Dell Inspiron 3576 i5 8250U/4GB/1TB/Win10/(P63F002N76F),Sp khá tốt .Màn hình chưa đc đẹp mặc dù full hd nhưng tấm nền TN nên cho trải nghiệm ko đc tốt lắm . Thiết kế nhìn ổn với sv thì ko đòi hỏi nhiều . Máy hơi chậm tí do ổ hdd ai có gửi qua hãng thay ổ ssd rồi cho mình xin giá với-_-,4.0
