,Link,Name,Comment,Rate
0,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"Sử dụng gần 1 tháng nay và hoàn toàn hài lòng. Camera chụp đẹp, pin ""trâu"" xài thoải mái cả ngày mà không hết nổi, màn hình to sắc nét trải nghiệm xem phim và đọc báo rất tuyệt vời.",5.0
1,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"Màn hình cực đẹp, máy chạy rất êm và cực nhanh. Đặc biệt là S-Pen, siêu siêu tiện lợi. Máy chụp hình đẹp và siêu nét.",5.0
2,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"Xài bao phê , bao đã luôn quá tuyệt vời cho 1 siêu phẩm. Lại được tặng loa nữa quá đã.",5.0
3,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"Sản phẩm toàn diện về mọi mặt: Cấu hình, Ram, bộ nhớ trong, Camera...Và pin là cải tiến lớn nhất dòng Note. Chiếc Android hoàn hảo năm 2018.",5.0
4,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"San phẩm nhìn vo rất đẹp tôi moi mua hơi trưa nay ve xài rất tốt đặc biêt cây bút tôi rất thích thay doi hoang toan nhưng gì tôi nghi,thiết ke ko mấy quan trong, tôi cung đang xài note8 rất la tốt roi nhưng ko ngô cai note9 xoang tốt hơn nưa cam ơn cty samsung, dmx da mang đến tay khách hang như tôi noi riêng va tất ca moi ngươi noi riêng 1 sân phẩm rất tốt xinh chuc cty samsung, dmx ban được nhiêu may hơn nưa.",5.0
5,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,vừa mua về chiều nay...xài chưa qen lắm do quen với dòng ip rồi..nhưng phải công nhận xài sướng hơn ip nhiều. số tièn bỏ ra cảm thấy xứng đáng!,5.0
6,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"E vừa lấy máy sáng nay, máy quá ư là ngon, mượt, Cam tốt, đa nhiệm quá OK, PIN trâu, bút Spen khỏi phải bàn.",5.0
7,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"Dùng bút S-Pen rất sướng, phù hợp với công việc giảng dạy của mình. Cảm nhận máy rất mượt, camera sau chụp thiếu sáng ở chế độ chuyên nghiệp chọn khẩu độ F1.5 thì iphone không có cửa. Pin cảm giác tụt hơi nhanh, từ 100% - 80% nghịch lúc là hao. Sẽ tiếp tục ủng hộ dòng Note",4.0
8,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,So với giá cả thì camera hơi bèo ít nhất cũng được khoảng 24 mp cho bộ 3 camera ram thì ổn bộ nhớ cũng ổn máy cũng đẹp,3.0
9,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,Đẹp . Samsung Galaxy Note 9 rất đẹp không sản phẩm của iPhone bằng được chiếc Samsung này,5.0
10,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"sản phẩm tốt nhất trong tầm giá. Sản phẩm toàn diện về mọi mặt: Cấu hình, Ram, bộ nhớ trong, Camera...Và pin là cải tiến lớn nhất dòng Note. Chiếc Android hoàn hảo năm 2018.",5.0
11,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,Fan của dòng note từ lúc ra cái note đầu tiên nhưng mà samsung chưa bao h sửa dc lỗi cơ bản là nút tăng âm lượng lúc đang xem phim hay chơi game mọi người thử bấm liên tục nút tăng giảm âm lượng sẽ rõ .Tai nghe theo máy có ai thấy xấu tệ ko chưa nói bỏ túi quần bị gấp gãy .Khe căm sim có 2 lỗ sim 1 ko nói nếu gắn sim 2 vô thay vì thẻ nhớ thì nên cân nhắc kỹ vì chất lượng 4g sẽ ko ổn định chứ chưa nói sim 2 có đôi lúc sẽ mất sóng,3.0
12,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,. Đã dùng dòng S nay sẵn thấy note ra mới quá liền chuyển từ S sang Note phải là đã gì đâu. Note năm nay dc cái bút bluetooth xài sướng tay,5.0
13,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"Sản phẩm ổn, nhưng nếu ai mua phiên bản chip exynos thì không tốt lắp trong kết nối wifi, 3g,4g... Nhưng tốt nhất đừng mua náy Samsung là tốt nhất, chế độ bảo hành của hãng tồi tệ nhất mà mình biết. Lỗi sản xuất màn hình ( lưu ảnh, vàng màn hình) mà không bảo hành. Hãy mua sản phẩm của hãng khác nhé mọi người.",2.0
14,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,Mọi thứ hoàn hảo. Nhưng chơi game quá nóng. Thất vọng Cho 1 siêu phẩm.,1.0
15,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,Mới hốt em nó về đẹp khó cưỡng hài lòng khi mua e nó Nhân viên tư vấn nhiệt tình và thân thiệt,5.0
16,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,"Tuy Note9 không phải là nhanh nhất thế giới, nhưng giá thành và tiện ích đem lại thật tuyệt vời. Tôi yêu Note9!",5.0
17,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,mình mới mua được 3 ngày máy khá là ôk. rất tốt vê mọi mặt. thiết kế rất đẹp xứng đáng với tiền bỏ ra,5.0
18,https://www.thegioididong.com/dtdd/samsung-galaxy-note-9-512gb,Điện thoại Samsung Galaxy Note 9 512GB,Tuyệt ...siêu phẩm rồi nói gì nữa giờ. Giá rẻ hơn tí nữa thì OK. Thêm phiên bản màu xanh dạ quang đi nhé,5.0
19,https://www.thegioididong.com/dtdd/samsung-galaxy-j6-plus,Điện thoại Samsung Galaxy J6+,"Máy rất tốt ,pin trâu, vân tay nhạy, mượt, chụp hình đẹp nhân viên phục rất nhiệt tình",5.0
20,https://www.thegioididong.com/dtdd/samsung-galaxy-j6-plus,Điện thoại Samsung Galaxy J6+,Máy rất tốt vân tay nhạy chụp hình đẹp ..nhân viên phục vụ tận tình ..tgdd rất uy tính,5.0
21,https://www.thegioididong.com/dtdd/samsung-galaxy-j6-plus,Điện thoại Samsung Galaxy J6+,Mình chưa biết điện thoại mới mua này tốt đến đâu nhưng mình đánh giá chất lượng dịch vụ của toàn bộ nhân viên tại cửa hàng Trưng Nữ Vương rất tuyệt vời. Thanks all!,5.0
22,https://www.thegioididong.com/dtdd/samsung-galaxy-j6-plus,Điện thoại Samsung Galaxy J6+,Đang sd tự máy tắt nguồn khởi động lại. Gởi về hãng xong sử dụng 30 phút tự máy tắt nguồn khởi động lại. Sd 1 tiếng sau tắt đui luôn. Sạc vô pin r chớp màn hình r đen thui k lên nguồn,1.0
23,https://www.thegioididong.com/dtdd/samsung-galaxy-j6-plus,Điện thoại Samsung Galaxy J6+,Đã mua và dùng chán dc mỗi pin trâu. Ko bằng con j2,1.0
24,https://www.thegioididong.com/dtdd/samsung-galaxy-j6-plus,Điện thoại Samsung Galaxy J6+,"Điện thoại đẹp, bền cực, rớt từ bàn 1m2 xuống đất mà không sao, rất hài lòng với samsung",5.0
25,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"Sau hơn 1 tuần trải nghiệm và sử dụng . Thấy máy khá ok . Ổn . Mượt , không có gì có thể làm chậm hay làm khó với con chip A12 bionic . Chụp ảnh đẹp . Và tiện lợi hơn là sử dụng 2 sim sóng sánh rất ok . Chỉ có 1 điểm duy nhất về mặt hình thức đó là thiết kế quá xấu . Viền màn hình với khung xương máy còn đút lọt đồng tiền polyme ( có bác nào bị trường hợp đấy không ạ ???)",4.0
26,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"lấy máy về từ hôm qua theo quan điểm của mình là :máy đẹp, pin trâu, chơi game chụp ảnh rất OK chỉ tiếc là sạc pin hơi lâu không biết có phải do mới mua nên sạc lâu trong những lần đầu hay không. Nói chung là rất ưng về máy",5.0
27,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"Máy rất tuyệt vời ... Mọi thứ ổn định ... Face ID Nhận diện nhanh,pin dùng ổn thoãi mái cho 1 ngày.Chạy mướt khỏi hỏi luôn :)) ... Chụp ảnh nhanh xóa phông cực đỉnh... Thế giới di động tuyệt vời !!!",5.0
28,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"máy nhanh mạnh , thiêt kế đẹp , chụp hình xóa phông đẹp không bị lem , lúc đầu tưởng face id bất tiện nhưng rất tiện lợi",5.0
29,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,Mình xài được 3 ngày . Máy rất nhậy . Sang choảnh cực . Nói chung là máy ok cầm nhỏ gọn rất thích . . Đáng đồng tiền bát gạo,5.0
30,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"Máy mượt với con chip A12, Pin ổn dùng cả ngày mới hết, màu vàng đẹp rất sang, nhân viên tư vấn nhiệt tình và vui vẻ.đúng là không chọn sai nơi để mua các thiết bị điện tử.",5.0
31,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"Mượt, phiên bản gold rất sang, nhân viên tại Tgdd tại Nha Trang lại tư vấn nhiệt tình",5.0
32,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"Máy đẹp,cấu hình mạnh,cảm ứng mượt mà,cầm trên tay khá gọn gàng..vỏ máy bóng nên bạn nào mua cần trang bị ốp lưng có độ nhám tốt để cầm đỡ rơi rớt...khui hộp mà mấy chị nhân viên xin chụp hình máy nữa chứ..",4.0
33,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,máy đẹp cầm tay vừa vặn lại full màn hình nhưng không bik sử dụng cho lắm không thể khám phá hết mà chơi bubg bao ngon bao mượt,5.0
34,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,"Máy chạy mượt, nhanh, sài cực thích. Pin thì sài tạm, đủ 1 ngày, chụp hình cũng nhanh và đẹp",5.0
35,https://www.thegioididong.com/dtdd/iphone-xs,Điện thoại iPhone Xs 64GB,máy dùng tốt. nhanh. camera rõ nét. bao mình có 9 triệu rồi. còn thiếu 20 triệu. bao giờ đủ mình sẽ mua,5.0
36,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Trc nghe ý kiến nhát k dám mua. Sau mua về đồng bộ vs đồng hồ thì cảm thấy máy mượt ngon đẹp 4g mạnh k như mấy bác ns. Cam thì tuyệt vời chiến game ok . Mỗi tội loa nhỏ vs pin yếu hơn dòng j7 pro,5.0
37,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Máy mới mua dc 2 ngày tôi rất thích nhân viên phục vu rất tốt . camera chụp hinh đẹp. Máy nhanh mược rất tốt,5.0
38,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Máy xài mượt . Không lỗi . Pin hơi thấp . Chơi game ổn . Không thấy có hiện tượng giật lag,5.0
39,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Mới mua máy mới rất thích tôi đã xài cái A7 thứ 2 rồi .tôi rất thích máy này lắm mạnh mượt,5.0
40,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Mói sài dc 2 ngày .máy mượt .pin tạm ổn bắt 3g 4g tốt .sài thêm vài tháng nữa mới có đánh giá chính xác,5.0
41,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Mấy chạy rất mượt không có vắ đề gì . Pin tuy hơi thấp nhưng tạm chấp nhận được . Máy tốt,4.0
42,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Máy dùng tốt.pin lâu hết.sac cũng nhanh mà.nói chung ko chê trách gì.chỉ có tải video là hơi châm hơn mong đợi.,5.0
43,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,Máy bị lỗi mà ko cho đổi làm ăn rất vớ vẩn thế này thì mua máy mới làm j thà mua máy cũ dùng còn hơn,1.0
44,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,"theo 2 tháng sự dụng minh thấy máy rất rất là tốt bộ nhớ tới tận 128G 6ram xai bao mượt luôn , camera chuo hinh rất là đẹp theo minh thì minh rất thích máy này , ko hối ân khi mua nó về . chỉ tiết là sạc bin hơi lâu chúc chứ con lại thì kha tốt , ý kiến riêng",5.0
45,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,1 đổi 1 3 lần mà vẫn bị lỗi mạng. quá là thất vọng. 1 đổi 1 3 lần mà vẫn bị lỗi mạng. quá là thất vọng.,1.0
46,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,"pin thì yếu, kém hơn so với các dòng tầm giá này của oppo xiaomi hay vivo, wifi 3g 4g sóng gì cũng yếu nốt, nói ra thì kêu do nhà mạng, cục wifi thì nằm kế bên, sim thì gắn lại máy cũ xài 4g phà phà, máy chỉ nghe gọi đó, game lâu lâu mới đụng vào, chơi line coffee mà đứng giật giật thì làm được gì hối hận khi mua máy này, giờ bán thì lỗ mới mua được gần 2 tuần mà xài thì phát bực",1.0
47,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,"Máy dùng ổn, chụp hình đẹp, chơi game liên tục được 4 giờ, không có gì đáng chê cả",5.0
48,https://www.thegioididong.com/dtdd/samsung-galaxy-a7-2018-128gb,Điện thoại Samsung Galaxy A7 (2018) 128GB,"theo 2 tháng sự dụng minh thấy máy rất rất là tốt bộ nhớ tới tận 128G 6ram xai bao mượt luôn , camera chuo hinh rất là đẹp theo minh thì minh rất thích máy này , ko hối ân khi mua nó về . chỉ tiết là sạc bin hơi lâu chúc chứ con lại thì kha tốt , ý kiến riêng",5.0
